text,label,phishing_type,severity,confidence
Your PayPal account has been limited. Verify your identity immediately or your account will be permanently suspended. Click here: http://paypal-verify-secure.ru/login,1,credential_harvesting,high,0.97
URGENT: Your Apple ID has been compromised. Sign in now to protect your account: http://apple-id-support-center.com/verify. Failure to act within 24 hours will result in permanent account lock.,1,credential_harvesting,high,0.95
Microsoft Security Alert: Unusual sign-in activity detected. Verify your account credentials to prevent unauthorized access: https://microsoft-account-recovery.net/signin,1,credential_harvesting,high,0.96
Your Netflix subscription is on hold due to a billing issue. Update your payment now: http://netflix-billing-update.xyz/payment. Ignoring this will result in account suspension.,1,credential_harvesting,high,0.94
"Dear customer, your online banking session has expired. Re-authenticate at: http://secure-bank-login.info/verify to continue using your account.",1,credential_harvesting,medium,0.88
Your Google Account will be disabled in 24 hours due to a policy violation. Review and appeal here: http://google-account-appeal.cc/review,1,account_suspension,high,0.98
ACTION REQUIRED: Your email account has exceeded storage limits and will be suspended. Upgrade now: http://mail-upgrade-portal.net/storage,1,account_suspension,high,0.96
Warning: Your Instagram account will be deactivated due to inactivity. Log in to prevent deletion: http://social-account-keep.info/login,1,account_suspension,medium,0.85
Your Amazon account has been temporarily suspended due to suspicious activity. Verify your identity to restore access: http://amazon-verify-id.net/account,1,account_suspension,high,0.95
"Congratulations! You have been selected for a $1,000 reward. Claim it by providing your bank details at: http://reward-claim-portal.net/claim",1,financial_fraud,high,0.99
"IRS NOTICE: You are owed a tax refund of $3,241. To receive your payment click: http://irs-refund-gov.cc/claim and submit your SSN and bank routing number.",1,financial_fraud,high,0.97
Your package from UPS could not be delivered. A customs fee of $2.99 is required: http://ups-delivery-fee.xyz/pay. Unclaimed packages are returned after 5 days.,1,financial_fraud,high,0.95
BITCOIN INVESTMENT: Our AI-powered trading system generated 300% returns in 90 days. Minimum investment $500. Contact: crypto-invest@protonmail.com to secure your spot.,1,financial_fraud,high,0.96
Please review attached invoice #INV-2024-00847. Requires your immediate attention. Download: http://invoice-view.ru/INV-2024-00847.exe,1,malware_delivery,high,0.99
HR Department: Your Q4 salary slip is ready. Download the encrypted PDF: http://hr-portal-docs.com/salary-slip-q4.exe. Password: emp2024,1,malware_delivery,high,0.97
"Hi, this is the CEO. I need you to process an urgent wire transfer of $50,000 to our new vendor immediately. Keep this confidential. Reply with confirmation.",1,business_email_compromise,high,0.98
From the CFO: We need to transfer funds to a new supplier account by end of day. Account 8847291034 Routing 021000021. Do not discuss with others.,1,business_email_compromise,high,0.96
CRITICAL SYSTEM ALERT: Your computer has been infected with malware. Call Microsoft certified technicians immediately at 1-800-555-0199 to prevent data loss.,1,tech_support_scam,medium,0.9
Windows Defender has detected a dangerous virus on your device. Your personal files are at risk. Call Microsoft Support: 1-888-555-0244 to remove the threat now.,1,tech_support_scam,medium,0.88
"WINNER NOTIFICATION: Your email was selected in the UK National Lottery Annual Draw. You have won GBP 850,000. Contact your claims agent at lottery-winner@gmail.com",1,lottery_scam,medium,0.92
USPS: We attempted to deliver your package but no one was available. Pay a $1.50 redelivery fee: http://usps-package-hold.xyz/redeliver to reschedule.,1,delivery_scam,medium,0.86
FedEx Alert: Your shipment #9876543210 is pending customs clearance. A fee of $4.95 is required: http://fedex-customs.net/pay. Unclaimed packages returned after 5 days.,1,delivery_scam,medium,0.84
"I am Dr. James Wilson, attorney representing the estate of a deceased foreigner. You share the same surname and may be entitled to $4.5 million. Reply confidentially.",1,advance_fee_fraud,high,0.98
"Dear Friend, I am a Nigerian prince seeking a trustworthy partner to transfer $28 million from a dormant account. You will receive 30% commission. Kindly reply.",1,advance_fee_fraud,high,0.96
FREE COVID-19 Home Testing Kit - Government Authorized. Register at http://covid-test-kit-free.net/register to receive your free kit with results in 24 hours.,1,health_scam,medium,0.87
"Hi team, reminder that our weekly standup is tomorrow at 10 AM EST. Please review the agenda I sent last week. Looking forward to your updates.",0,legitimate,low,0.02
Your Amazon order #113-2847593-1234567 has shipped. Estimated delivery is Friday. Track your package at amazon.com/orders.,0,legitimate,low,0.01
